khasra_no,village,project,stage,sec_11_date,days_elapsed_sec11,statutory_days_left,unpartitioned_khata,court_stay,forest_clearance,circle_to_market_ratio,disbursement_pct,delay_days,risk_tier,status_color
KH-517/6,Sultanpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-11-16,46,319,0,1,Not Required,0.54,57.3,391,Critical,red
KH-460/5,Shahpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-03-17,290,75,1,0,Not Required,0.92,24.1,187,Critical,red
KH-379/7,Mehrauli Dehat,NH-44 Expansion,Award Enquiry,2024-06-28,187,178,1,0,Approved,0.87,32.9,136,High,red
KH-778/1,Rampur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-04-25,251,114,0,0,Not Required,0.53,0.0,57,Medium,yellow
KH-434/6,Shahpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-11-28,400,-35,1,0,Not Required,1.07,19.8,96,High,red
KH-153/6,Kalyanpur,NH-44 Expansion,Section 11 (Notice),2023-11-27,401,-36,0,0,Approved,0.42,0.0,149,High,red
KH-785/2,Sultanpur,Delhi-Amritsar Expressway,Award Enquiry,2023-12-25,373,-8,0,0,Not Required,0.58,54.0,93,High,red
KH-217/3,Bhatinda Khurd,NH-44 Expansion,Possession Taken,2024-12-04,28,337,0,0,Approved,1.05,100.0,21,Low,green
KH-484/7,Fatehpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-02-18,318,47,0,1,Not Required,0.88,0.0,234,Critical,red
KH-223/1,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-11-12,50,315,0,0,Pending,0.75,52.2,109,High,red
KH-543/6,Fatehpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-05-09,237,128,1,0,Approved,0.52,0.0,211,Critical,red
KH-651/8,Mehrauli Dehat,PMGSY Phase-3 Link Road,Possession Taken,2024-08-02,152,213,1,0,Approved,0.63,100.0,133,High,green
KH-575/7,Bhatinda Khurd,NH-44 Expansion,Award Enquiry,2023-10-09,450,-85,0,0,Pending,0.63,61.7,93,High,red
KH-710/5,Sultanpur,NH-44 Expansion,Possession Taken,2024-09-11,112,253,1,0,Not Required,0.46,100.0,219,Critical,green
KH-587/8,Mehrauli Dehat,NH-44 Expansion,Section 11 (Notice),2024-07-20,165,200,0,0,Pending,0.56,0.0,152,High,red
KH-584/9,Sultanpur,Dedicated Freight Corridor,Award Enquiry,2023-12-02,396,-31,1,0,Approved,0.79,17.3,140,High,red
KH-223/4,Bhatinda Khurd,NH-44 Expansion,Possession Taken,2023-11-23,405,-40,0,0,Pending,0.88,100.0,57,Medium,green
KH-841/9,Sultanpur,Dedicated Freight Corridor,Section 11 (Notice),2023-10-18,441,-76,0,0,Not Required,0.54,0.0,153,High,red
KH-825/9,Kalyanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-11-20,42,323,1,0,Not Required,0.79,0.0,186,Critical,red
KH-112/5,Mehrauli Dehat,PMGSY Phase-3 Link Road,Award Enquiry,2024-06-26,189,176,0,0,Approved,0.53,33.3,74,Medium,yellow
KH-802/1,Kalyanpur,Delhi-Amritsar Expressway,Possession Taken,2024-07-15,170,195,0,0,Not Required,0.46,100.0,73,Medium,green
KH-331/9,Mehrauli Dehat,PMGSY Phase-3 Link Road,Award Enquiry,2024-07-18,167,198,0,0,Approved,1.0,94.4,0,Low,green
KH-724/2,Shahpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-08-04,150,215,1,0,Approved,0.86,0.0,95,High,red
KH-260/1,Mehrauli Dehat,PMGSY Phase-3 Link Road,Possession Taken,2024-04-21,255,110,0,0,Not Required,0.6,100.0,0,Low,green
KH-819/8,Rampur,Delhi-Amritsar Expressway,Section 19 (Declaration),2023-11-10,418,-53,0,1,Not Required,0.95,68.3,195,Critical,red
KH-763/3,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 11 (Notice),2024-11-17,45,320,1,0,Approved,0.52,0.0,226,Critical,red
KH-395/8,Rampur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-12-25,373,-8,0,0,Not Required,0.68,47.7,1,Low,green
KH-712/1,Mehrauli Dehat,Dedicated Freight Corridor,Possession Taken,2024-08-11,143,222,0,0,Not Required,0.42,100.0,98,High,green
KH-883/5,Sultanpur,NH-44 Expansion,Section 15 (Hearing),2024-04-21,255,110,0,0,Not Required,0.76,0.0,0,Low,green
KH-699/7,Fatehpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-04-21,255,110,1,1,Pending,0.64,0.0,453,Critical,red
KH-521/8,Bhatinda Khurd,PMGSY Phase-3 Link Road,Possession Taken,2024-11-29,33,332,0,0,Pending,0.72,100.0,72,Medium,green
KH-891/7,Shahpur,NH-44 Expansion,Possession Taken,2024-04-25,251,114,0,1,Pending,0.69,100.0,276,Critical,green
KH-740/8,Shahpur,NH-44 Expansion,Section 15 (Hearing),2024-08-03,151,214,1,0,Not Required,0.78,0.0,120,High,red
KH-224/1,Fatehpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-07-11,174,191,1,0,Not Required,0.79,0.0,156,High,red
KH-961/2,Mehrauli Dehat,NH-44 Expansion,Section 15 (Hearing),2024-04-06,270,95,0,1,Approved,1.05,0.0,224,Critical,red
KH-954/8,Mehrauli Dehat,Delhi-Amritsar Expressway,Award Enquiry,2024-03-10,297,68,0,0,Approved,0.5,42.4,84,Medium,yellow
KH-984/2,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-11-10,418,-53,1,0,Approved,0.76,33.7,161,High,red
KH-693/8,Shahpur,Delhi-Amritsar Expressway,Award Enquiry,2024-03-17,290,75,1,0,Approved,0.74,16.6,111,High,red
KH-990/4,Fatehpur,Delhi-Amritsar Expressway,Possession Taken,2024-06-04,211,154,1,0,Not Required,0.56,100.0,180,Critical,green
KH-930/7,Mehrauli Dehat,Delhi-Amritsar Expressway,Award Enquiry,2024-11-29,33,332,1,0,Pending,0.49,38.8,315,Critical,red
KH-638/8,Rampur,Delhi-Amritsar Expressway,Award Enquiry,2024-01-17,350,15,1,0,Approved,1.08,7.6,109,High,red
KH-765/2,Shahpur,Dedicated Freight Corridor,Possession Taken,2024-06-06,209,156,1,0,Approved,1.07,100.0,193,Critical,green
KH-993/9,Rampur,NH-44 Expansion,Section 15 (Hearing),2024-01-29,338,27,1,1,Not Required,0.88,0.0,345,Critical,red
KH-200/2,Mehrauli Dehat,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-12-03,29,336,0,0,Approved,0.43,81.7,56,Medium,yellow
KH-350/9,Mehrauli Dehat,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-09-19,104,261,0,0,Approved,0.46,0.0,73,Medium,yellow
KH-697/3,Kalyanpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-04-26,250,115,0,0,Not Required,0.58,30.6,58,Medium,yellow
KH-453/5,Fatehpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-04-28,248,117,0,0,Not Required,0.99,42.9,0,Low,green
KH-342/7,Sultanpur,Dedicated Freight Corridor,Possession Taken,2024-07-19,166,199,0,0,Approved,1.09,100.0,5,Low,green
KH-679/1,Sultanpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-11-16,412,-47,0,0,Not Required,0.96,69.5,0,Low,green
KH-735/5,Fatehpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-01-31,336,29,0,0,Approved,0.85,0.0,0,Low,green
KH-693/6,Fatehpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-07-19,166,199,0,0,Pending,0.63,0.0,76,Medium,yellow
KH-652/6,Sultanpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-08-08,146,219,0,0,Approved,1.04,0.0,0,Low,green
KH-923/2,Mehrauli Dehat,NH-44 Expansion,Section 15 (Hearing),2023-11-27,401,-36,0,0,Not Required,1.08,0.0,33,Medium,yellow
KH-506/9,Bhatinda Khurd,NH-44 Expansion,Award Enquiry,2024-12-10,22,343,0,1,Pending,0.59,38.0,425,Critical,red
KH-753/6,Rampur,Delhi-Amritsar Expressway,Award Enquiry,2024-12-05,27,338,1,0,Not Required,0.83,38.0,144,High,red
KH-164/8,Fatehpur,Dedicated Freight Corridor,Award Enquiry,2024-10-19,74,291,0,0,Approved,0.5,91.5,49,Medium,yellow
KH-497/8,Bhatinda Khurd,PMGSY Phase-3 Link Road,Possession Taken,2023-12-03,395,-30,1,0,Not Required,0.91,100.0,166,High,green
KH-730/7,Bhatinda Khurd,NH-44 Expansion,Section 19 (Declaration),2024-08-28,126,239,1,0,Approved,0.71,38.3,187,Critical,red
KH-467/1,Mehrauli Dehat,Dedicated Freight Corridor,Section 15 (Hearing),2024-10-16,77,288,0,0,Not Required,1.06,0.0,9,Low,green
KH-317/1,Rampur,Dedicated Freight Corridor,Section 15 (Hearing),2024-10-14,79,286,0,0,Not Required,0.95,0.0,3,Low,green
KH-932/4,Bhatinda Khurd,Delhi-Amritsar Expressway,Possession Taken,2024-12-16,16,349,0,0,Not Required,0.59,100.0,62,Medium,green
KH-987/1,Kalyanpur,NH-44 Expansion,Section 19 (Declaration),2023-11-09,419,-54,1,0,Not Required,0.95,25.6,105,High,red
KH-863/2,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-03-30,277,88,0,0,Not Required,0.82,59.4,0,Low,green
KH-844/9,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-11-16,46,319,0,0,Not Required,1.1,0.0,15,Low,green
KH-210/8,Fatehpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-11-06,56,309,0,0,Not Required,0.63,0.0,0,Low,green
KH-739/9,Fatehpur,Dedicated Freight Corridor,Award Enquiry,2024-02-16,320,45,0,0,Approved,0.77,59.5,3,Low,green
KH-818/2,Shahpur,Delhi-Amritsar Expressway,Award Enquiry,2024-04-30,246,119,1,0,Not Required,1.02,19.5,138,High,red
KH-420/7,Bhatinda Khurd,Dedicated Freight Corridor,Section 19 (Declaration),2024-09-30,93,272,0,0,Not Required,0.88,60.8,0,Low,green
KH-481/3,Sultanpur,NH-44 Expansion,Possession Taken,2024-03-05,302,63,0,1,Approved,0.79,100.0,162,High,green
KH-868/7,Shahpur,NH-44 Expansion,Section 19 (Declaration),2024-02-14,322,43,0,0,Not Required,0.62,36.7,0,Low,green
KH-593/4,Shahpur,NH-44 Expansion,Section 19 (Declaration),2023-10-12,447,-82,0,1,Not Required,0.79,37.5,230,Critical,red
KH-965/9,Shahpur,NH-44 Expansion,Possession Taken,2024-01-16,351,14,1,1,Not Required,0.98,100.0,253,Critical,green
KH-416/6,Bhatinda Khurd,NH-44 Expansion,Section 15 (Hearing),2024-10-05,88,277,0,0,Not Required,0.8,0.0,0,Low,green
KH-748/1,Rampur,Delhi-Amritsar Expressway,Award Enquiry,2024-05-17,229,136,0,0,Not Required,0.72,40.2,0,Low,green
KH-681/2,Rampur,Delhi-Amritsar Expressway,Section 15 (Hearing),2023-11-27,401,-36,0,0,Not Required,0.83,0.0,6,Low,green
KH-777/7,Mehrauli Dehat,PMGSY Phase-3 Link Road,Award Enquiry,2024-07-31,154,211,1,0,Not Required,0.55,22.9,174,High,red
KH-707/8,Sultanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-08-27,127,238,1,0,Pending,0.68,0.0,220,Critical,red
KH-361/5,Bhatinda Khurd,NH-44 Expansion,Section 11 (Notice),2024-04-07,269,96,1,0,Not Required,0.92,0.0,91,High,red
KH-335/9,Sultanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-05-28,218,147,0,0,Pending,1.0,0.0,58,Medium,yellow
KH-179/6,Sultanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-05-24,222,143,1,0,Not Required,0.9,100.0,133,High,green
KH-432/3,Shahpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-11-02,60,305,1,0,Pending,0.71,8.7,239,Critical,red
KH-991/5,Fatehpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-06-30,185,180,1,0,Approved,0.95,0.0,99,High,red
KH-622/4,Shahpur,Dedicated Freight Corridor,Section 19 (Declaration),2023-12-11,387,-22,1,0,Pending,1.07,27.6,169,High,red
KH-277/3,Shahpur,NH-44 Expansion,Section 15 (Hearing),2023-11-18,410,-45,0,0,Not Required,0.84,0.0,0,Low,green
KH-693/8,Fatehpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-10-01,92,273,1,0,Not Required,0.71,21.4,163,High,red
KH-157/6,Sultanpur,NH-44 Expansion,Section 19 (Declaration),2024-04-25,251,114,1,0,Not Required,0.72,7.0,149,High,red
KH-619/7,Mehrauli Dehat,NH-44 Expansion,Award Enquiry,2023-10-30,429,-64,1,1,Approved,0.8,11.6,438,Critical,red
KH-561/2,Shahpur,Dedicated Freight Corridor,Section 11 (Notice),2024-04-03,273,92,0,0,Not Required,0.85,0.0,4,Low,green
KH-389/7,Mehrauli Dehat,Dedicated Freight Corridor,Possession Taken,2024-11-21,41,324,0,0,Approved,0.95,100.0,4,Low,green
KH-196/9,Fatehpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-08-10,144,221,1,0,Not Required,0.91,28.0,181,Critical,red
KH-696/3,Bhatinda Khurd,Dedicated Freight Corridor,Award Enquiry,2024-10-12,81,284,0,0,Approved,0.82,91.0,0,Low,green
KH-910/6,Shahpur,Delhi-Amritsar Expressway,Possession Taken,2024-10-31,62,303,0,1,Not Required,0.85,100.0,258,Critical,green
KH-416/3,Kalyanpur,Dedicated Freight Corridor,Award Enquiry,2024-09-10,113,252,0,0,Approved,0.56,38.9,24,Low,green
KH-619/9,Shahpur,NH-44 Expansion,Section 19 (Declaration),2023-11-21,407,-42,0,0,Not Required,0.83,68.8,0,Low,green
KH-809/3,Fatehpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-05-21,225,140,1,0,Pending,0.66,0.0,219,Critical,red
KH-902/8,Kalyanpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2023-10-30,429,-64,1,0,Not Required,0.95,36.6,137,High,red
KH-388/7,Sultanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2023-10-26,433,-68,1,0,Not Required,0.54,0.0,219,Critical,red
KH-205/9,Shahpur,NH-44 Expansion,Section 19 (Declaration),2024-11-05,57,308,1,1,Pending,0.93,14.5,424,Critical,red
KH-327/8,Bhatinda Khurd,NH-44 Expansion,Award Enquiry,2024-11-20,42,323,1,0,Not Required,0.68,18.1,159,High,red
KH-128/6,Rampur,Dedicated Freight Corridor,Section 15 (Hearing),2024-10-08,85,280,1,0,Not Required,0.43,0.0,274,Critical,red
KH-580/8,Sultanpur,NH-44 Expansion,Section 11 (Notice),2024-12-08,24,341,1,0,Not Required,0.58,0.0,217,Critical,red
KH-533/2,Shahpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-07-16,169,196,0,0,Not Required,0.49,0.0,49,Medium,yellow
KH-568/2,Rampur,PMGSY Phase-3 Link Road,Possession Taken,2024-03-18,289,76,0,0,Approved,0.41,100.0,83,Medium,green
KH-398/7,Rampur,Dedicated Freight Corridor,Section 15 (Hearing),2024-02-29,307,58,1,0,Pending,0.69,0.0,253,Critical,red
KH-619/9,Sultanpur,NH-44 Expansion,Award Enquiry,2024-04-21,255,110,0,0,Pending,0.43,55.1,153,High,red
KH-169/6,Kalyanpur,NH-44 Expansion,Possession Taken,2023-12-07,391,-26,0,1,Not Required,0.93,100.0,158,High,green
KH-933/3,Shahpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-01-29,338,27,1,0,Pending,0.53,9.7,236,Critical,red
KH-142/6,Bhatinda Khurd,PMGSY Phase-3 Link Road,Possession Taken,2024-04-19,257,108,0,1,Not Required,0.58,100.0,244,Critical,green
KH-986/6,Bhatinda Khurd,NH-44 Expansion,Section 19 (Declaration),2024-05-08,238,127,0,1,Approved,1.02,78.3,242,Critical,red
KH-808/8,Bhatinda Khurd,Dedicated Freight Corridor,Section 11 (Notice),2023-12-11,387,-22,0,0,Not Required,0.7,0.0,0,Low,green
KH-205/2,Bhatinda Khurd,Dedicated Freight Corridor,Section 19 (Declaration),2024-05-03,243,122,0,0,Pending,0.82,57.7,101,High,red
KH-844/6,Sultanpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-01-25,342,23,0,0,Pending,1.09,91.6,71,Medium,yellow
KH-625/3,Rampur,Delhi-Amritsar Expressway,Possession Taken,2024-01-05,362,3,1,0,Approved,0.95,100.0,81,Medium,green
KH-760/6,Bhatinda Khurd,PMGSY Phase-3 Link Road,Possession Taken,2024-12-01,31,334,0,0,Not Required,0.82,100.0,0,Low,green
KH-687/3,Sultanpur,Dedicated Freight Corridor,Award Enquiry,2024-07-10,175,190,0,0,Not Required,0.85,46.2,0,Low,green
KH-675/2,Bhatinda Khurd,Dedicated Freight Corridor,Award Enquiry,2024-08-30,124,241,1,1,Approved,1.1,15.0,340,Critical,red
KH-555/2,Shahpur,Dedicated Freight Corridor,Section 19 (Declaration),2023-12-20,378,-13,0,0,Pending,0.45,65.2,212,Critical,red
KH-817/3,Shahpur,Dedicated Freight Corridor,Possession Taken,2024-08-25,129,236,1,0,Pending,0.48,100.0,264,Critical,green
KH-469/9,Sultanpur,Dedicated Freight Corridor,Award Enquiry,2023-11-02,426,-61,1,1,Approved,1.09,9.5,278,Critical,red
KH-887/7,Shahpur,NH-44 Expansion,Section 15 (Hearing),2024-07-08,177,188,0,0,Pending,0.85,0.0,86,Medium,yellow
KH-231/9,Fatehpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-05-10,236,129,1,0,Not Required,0.75,0.0,114,High,red
KH-411/3,Kalyanpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-06-23,192,173,0,0,Pending,1.06,0.0,75,Medium,yellow
KH-664/5,Kalyanpur,Dedicated Freight Corridor,Possession Taken,2024-03-19,288,77,0,0,Not Required,0.47,100.0,59,Medium,green
KH-837/6,Shahpur,NH-44 Expansion,Section 11 (Notice),2024-11-06,56,309,1,0,Pending,0.43,0.0,354,Critical,red
KH-685/7,Sultanpur,NH-44 Expansion,Award Enquiry,2024-01-31,336,29,0,0,Not Required,0.78,71.7,0,Low,green
KH-926/7,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 11 (Notice),2023-12-31,367,-2,0,0,Pending,0.44,0.0,258,Critical,red
KH-721/3,Bhatinda Khurd,Dedicated Freight Corridor,Section 19 (Declaration),2024-05-27,219,146,1,1,Approved,0.49,18.0,395,Critical,red
KH-560/4,Kalyanpur,NH-44 Expansion,Section 11 (Notice),2024-07-22,163,202,1,1,Pending,1.06,0.0,507,Critical,red
KH-263/8,Sultanpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-07-13,172,193,0,0,Not Required,0.75,35.9,0,Low,green
KH-346/4,Sultanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-11-22,40,325,1,0,Not Required,0.6,0.0,194,Critical,red
KH-581/5,Sultanpur,NH-44 Expansion,Section 11 (Notice),2024-05-11,235,130,1,0,Not Required,0.49,0.0,201,Critical,red
KH-510/1,Sultanpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-03-09,298,67,0,0,Approved,0.6,55.1,0,Low,green
KH-945/2,Kalyanpur,NH-44 Expansion,Award Enquiry,2024-06-09,206,159,1,0,Pending,0.96,16.9,220,Critical,red
KH-511/9,Rampur,NH-44 Expansion,Section 11 (Notice),2024-10-08,85,280,0,0,Pending,0.9,0.0,109,High,red
KH-720/9,Kalyanpur,Dedicated Freight Corridor,Possession Taken,2024-07-07,178,187,0,0,Not Required,0.51,100.0,92,High,green
KH-444/9,Shahpur,PMGSY Phase-3 Link Road,Possession Taken,2024-07-17,168,197,1,0,Approved,0.73,100.0,81,Medium,green
KH-526/5,Shahpur,NH-44 Expansion,Possession Taken,2024-04-19,257,108,0,0,Not Required,0.59,100.0,118,High,green
KH-691/4,Fatehpur,NH-44 Expansion,Possession Taken,2024-04-16,260,105,0,0,Not Required,0.52,100.0,110,High,green
KH-489/3,Shahpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-02-28,308,57,0,1,Not Required,1.06,0.0,163,High,red
