project_id,project_name,district,state,latitude,longitude,land_area_acres,comp_offered_lakhs,comp_demanded_lakhs,litigation_cases,title_dispute_count,comp_disbursal_delay_months,public_objections_count,slao_officer_vacant,forest_clearance_status,env_clearance_status,delay_risk_label,source_portal
PRJ_MST_1019,Highway Project #19 (Meghalaya),Central Division,MEGHALAYA,25.0662,78.2435,500.0,8000.0,11327.78,2,2,1,75,0,PENDING,APPROVED,53.53,datafile 1-(a) data.gov.in.csv
PRJ_MST_1020,Freight Corridor Project #20 (Mizoram),Central Division,MIZORAM,18.9767,78.563,500.0,8000.0,10764.92,2,0,20,73,1,REJECTED,APPROVED,84.28,datafile 1-(a) data.gov.in.csv
PRJ_MST_1021,Power Grid Line Project #21 (Nagaland),Central Division,NAGALAND,25.2546,77.7213,500.0,8000.0,12047.41,0,3,35,33,0,PENDING,PENDING,82.13,datafile 1-(a) data.gov.in.csv
PRJ_MST_1022,Urban Transit Corridor Project #22 (Odisha),Central Division,ODISHA,23.1815,75.0052,500.0,8000.0,10157.98,2,3,28,42,0,PENDING,APPROVED,75.25,datafile 1-(a) data.gov.in.csv
PRJ_MST_1023,Industrial Zone Project #23 (Pondicherry),Central Division,PONDICHERRY,20.8206,78.0478,15.0,50.0,67.3,4,1,25,73,0,REJECTED,APPROVED,85.08,datafile 1-(a) data.gov.in.csv
PRJ_MST_1024,Bulk Water Pipeline Project #24 (Punjab),Central Division,PUNJAB,19.3172,80.3409,500.0,8000.0,11065.45,1,4,20,93,0,APPROVED,APPROVED,63.8,datafile 1-(a) data.gov.in.csv
PRJ_MST_1025,Highway Project #25 (Rajasthan),Central Division,RAJASTHAN,21.8786,81.9244,500.0,8000.0,11424.28,6,4,16,21,1,APPROVED,APPROVED,73.3,datafile 1-(a) data.gov.in.csv
PRJ_MST_1026,Freight Corridor Project #26 (Sikkim),Central Division,SIKKIM,20.1553,77.4413,500.0,8000.0,12740.7,1,3,15,69,1,APPROVED,PENDING,75.13,datafile 1-(a) data.gov.in.csv
PRJ_MST_1027,Power Grid Line Project #27 (Tamilnadu),Central Division,TAMILNADU,19.3463,77.1876,500.0,8000.0,10398.7,0,2,30,113,0,APPROVED,APPROVED,62.01,datafile 1-(a) data.gov.in.csv
PRJ_MST_1028,Urban Transit Corridor Project #28 (Telangana),Central Division,TELANGANA,22.4648,79.0384,500.0,8000.0,11656.94,3,2,8,1,0,APPROVED,PENDING,53.38,datafile 1-(a) data.gov.in.csv
PRJ_MST_1029,Industrial Zone Project #29 (Tripura),Central Division,TRIPURA,18.5191,77.5392,500.0,8000.0,11969.66,6,3,30,93,0,APPROVED,PENDING,91.2,datafile 1-(a) data.gov.in.csv
PRJ_MST_1030,Bulk Water Pipeline Project #30 (Uttar Pradesh),Central Division,UTTAR PRADESH,26.1147,81.2386,500.0,8000.0,9785.8,0,3,13,65,0,PENDING,APPROVED,55.56,datafile 1-(a) data.gov.in.csv
PRJ_MST_1031,Highway Project #31 (Uttarakhand),Central Division,UTTARAKHAND,23.6982,76.4809,500.0,8000.0,12030.18,7,2,36,31,1,APPROVED,PENDING,95.0,datafile 1-(a) data.gov.in.csv
PRJ_MST_1032,Freight Corridor Project #32 (West Bengal),Central Division,WEST BENGAL,25.9819,77.6678,500.0,8000.0,10282.1,3,3,1,105,0,APPROVED,APPROVED,48.35,datafile 1-(a) data.gov.in.csv
PRJ_MST_1033,Power Grid Line Project #33 (Total),Central Division,TOTAL,25.8129,79.1104,500.0,8000.0,9860.21,1,2,13,15,0,APPROVED,APPROVED,38.8,datafile 1-(a) data.gov.in.csv
PRJ_MST_1034,Urban Transit Corridor Project #34 (Maharashtra),Central Division,MAHARASHTRA,18.5694,73.2949,57.97,665.32,1057.23,7,3,32,75,0,REJECTED,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1035,Industrial Zone Project #35 (Maharashtra),Central Division,MAHARASHTRA,20.0553,75.1398,220.99,2540.19,4079.93,4,2,34,0,1,REJECTED,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1036,Bulk Water Pipeline Project #36 (Maharashtra),Central Division,MAHARASHTRA,19.4,74.426,64.02,711.49,1187.07,5,3,19,116,1,PENDING,PENDING,95.0,dataset nhidcl.csv
PRJ_MST_1037,Highway Project #37 (Maharashtra),Central Division,MAHARASHTRA,19.4819,73.3671,99.39,692.09,909.06,2,2,1,71,1,PENDING,APPROVED,66.19,dataset nhidcl.csv
PRJ_MST_1038,Freight Corridor Project #38 (Maharashtra),Central Division,MAHARASHTRA,19.81,75.1191,127.96,1020.17,1476.6,7,0,18,47,0,APPROVED,APPROVED,66.58,dataset nhidcl.csv
PRJ_MST_1039,Power Grid Line Project #39 (Maharashtra),Central Division,MAHARASHTRA,19.2244,74.104,303.52,2711.53,3857.83,0,6,36,49,0,PENDING,PENDING,89.36,dataset nhidcl.csv
PRJ_MST_1040,Urban Transit Corridor Project #40 (Maharashtra),Central Division,MAHARASHTRA,18.6975,73.3012,239.81,2007.1,2662.88,1,1,17,12,1,PENDING,APPROVED,66.07,dataset nhidcl.csv
PRJ_MST_1041,Industrial Zone Project #41 (Maharashtra),Central Division,MAHARASHTRA,18.9636,74.4333,198.58,1311.43,1927.96,3,1,15,14,0,APPROVED,APPROVED,50.16,dataset nhidcl.csv
PRJ_MST_1042,Bulk Water Pipeline Project #42 (Maharashtra),Central Division,MAHARASHTRA,18.615,75.1959,29.57,327.87,462.98,6,2,3,52,0,PENDING,APPROVED,68.6,dataset nhidcl.csv
PRJ_MST_1043,Highway Project #43 (Maharashtra),Central Division,MAHARASHTRA,18.244,73.4287,262.14,2030.95,3222.57,1,1,11,43,0,PENDING,APPROVED,52.83,dataset nhidcl.csv
PRJ_MST_1044,Freight Corridor Project #44 (Maharashtra),Central Division,MAHARASHTRA,18.5387,73.3959,150.33,1188.2,1609.94,3,3,28,7,1,APPROVED,REJECTED,92.99,dataset nhidcl.csv
PRJ_MST_1045,Power Grid Line Project #45 (Maharashtra),Central Division,MAHARASHTRA,18.9255,73.0966,284.68,3034.98,4694.91,3,3,6,73,0,PENDING,APPROVED,63.8,dataset nhidcl.csv
PRJ_MST_1046,Urban Transit Corridor Project #46 (Maharashtra),Central Division,MAHARASHTRA,18.4133,73.478,103.96,836.03,1296.56,6,5,13,45,0,APPROVED,PENDING,86.3,dataset nhidcl.csv
PRJ_MST_1047,Industrial Zone Project #47 (Maharashtra),Central Division,MAHARASHTRA,19.3546,73.8346,38.77,421.94,515.78,6,2,11,68,0,PENDING,APPROVED,72.07,dataset nhidcl.csv
PRJ_MST_1048,Bulk Water Pipeline Project #48 (Maharashtra),Central Division,MAHARASHTRA,19.6284,75.0197,305.99,2051.31,2633.84,4,2,34,113,0,PENDING,PENDING,95.0,dataset nhidcl.csv
PRJ_MST_1049,Highway Project #49 (Maharashtra),Central Division,MAHARASHTRA,18.688,74.615,92.94,988.21,1327.47,6,2,4,18,0,APPROVED,PENDING,60.77,dataset nhidcl.csv
PRJ_MST_1050,Freight Corridor Project #50 (Maharashtra),Central Division,MAHARASHTRA,19.7298,74.0722,153.65,1257.82,1967.92,4,3,16,110,1,APPROVED,APPROVED,84.44,dataset nhidcl.csv
PRJ_MST_1051,Power Grid Line Project #51 (Maharashtra),Central Division,MAHARASHTRA,19.0623,74.7607,124.31,945.81,1564.29,3,7,31,37,1,PENDING,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1052,Urban Transit Corridor Project #52 (Maharashtra),Central Division,MAHARASHTRA,19.1146,75.075,45.3,432.74,703.86,1,0,9,10,0,PENDING,PENDING,53.88,dataset nhidcl.csv
PRJ_MST_1053,Industrial Zone Project #53 (Maharashtra),Central Division,MAHARASHTRA,19.4425,75.138,298.26,2339.97,3262.11,0,4,16,116,1,APPROVED,REJECTED,87.46,dataset nhidcl.csv
PRJ_MST_1054,Bulk Water Pipeline Project #54 (Maharashtra),Central Division,MAHARASHTRA,18.584,75.2395,300.15,2960.51,3870.17,4,2,4,42,1,APPROVED,REJECTED,73.28,dataset nhidcl.csv
PRJ_MST_1055,Highway Project #55 (Maharashtra),Central Division,MAHARASHTRA,19.2217,73.9316,340.58,3506.7,5711.97,4,2,8,19,0,APPROVED,PENDING,62.85,dataset nhidcl.csv
PRJ_MST_1056,Freight Corridor Project #56 (Maharashtra),Central Division,MAHARASHTRA,18.4273,73.1382,147.17,1671.52,2528.87,7,7,32,19,0,PENDING,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1057,Power Grid Line Project #57 (Maharashtra),Central Division,MAHARASHTRA,18.2447,73.2347,334.98,2652.43,3596.51,6,5,35,20,1,PENDING,APPROVED,95.0,dataset nhidcl.csv
PRJ_MST_1058,Urban Transit Corridor Project #58 (Maharashtra),Central Division,MAHARASHTRA,18.5553,74.7377,167.1,1936.9,2414.92,7,2,35,81,0,REJECTED,APPROVED,95.0,dataset nhidcl.csv
PRJ_MST_1059,Industrial Zone Project #59 (Maharashtra),Central Division,MAHARASHTRA,19.6153,75.2711,241.01,2871.62,4208.24,2,0,17,56,0,PENDING,APPROVED,57.55,dataset nhidcl.csv
PRJ_MST_1060,Bulk Water Pipeline Project #60 (Maharashtra),Central Division,MAHARASHTRA,18.8897,72.8574,47.23,444.38,699.29,4,2,8,49,1,PENDING,APPROVED,81.38,dataset nhidcl.csv
PRJ_MST_1061,Highway Project #61 (Maharashtra),Central Division,MAHARASHTRA,19.6146,74.4726,316.04,2596.73,4362.28,2,3,28,73,0,PENDING,APPROVED,82.8,dataset nhidcl.csv
PRJ_MST_1062,Freight Corridor Project #62 (Maharashtra),Central Division,MAHARASHTRA,19.525,74.6527,118.34,1391.58,2078.18,5,2,13,97,0,APPROVED,APPROVED,65.68,dataset nhidcl.csv
PRJ_MST_1063,Power Grid Line Project #63 (Maharashtra),Central Division,MAHARASHTRA,19.5386,73.3899,106.56,1154.76,1621.11,6,4,24,25,0,REJECTED,PENDING,95.0,dataset nhidcl.csv
PRJ_MST_1064,Urban Transit Corridor Project #64 (Maharashtra),Central Division,MAHARASHTRA,18.9427,75.2031,21.69,203.58,253.46,1,3,14,29,0,PENDING,APPROVED,60.15,dataset nhidcl.csv
PRJ_MST_1065,Industrial Zone Project #65 (Maharashtra),Central Division,MAHARASHTRA,19.6589,75.2102,199.26,2007.53,3001.37,5,2,5,72,1,APPROVED,APPROVED,71.74,dataset nhidcl.csv
PRJ_MST_1066,Bulk Water Pipeline Project #66 (Maharashtra),Central Division,MAHARASHTRA,20.0345,74.747,176.95,1948.96,2633.53,7,6,28,109,0,APPROVED,PENDING,95.0,dataset nhidcl.csv
PRJ_MST_1067,Highway Project #67 (Maharashtra),Central Division,MAHARASHTRA,19.9878,73.9569,230.0,1785.68,2564.79,4,0,14,114,0,APPROVED,APPROVED,59.82,dataset nhidcl.csv
PRJ_MST_1068,Freight Corridor Project #68 (Maharashtra),Central Division,MAHARASHTRA,18.2732,74.766,342.81,2303.54,3424.66,6,1,28,30,0,PENDING,PENDING,94.46,dataset nhidcl.csv
PRJ_MST_1069,Power Grid Line Project #69 (Maharashtra),Central Division,MAHARASHTRA,18.3685,72.8388,319.86,2916.83,4788.92,1,4,3,41,0,PENDING,APPROVED,56.07,dataset nhidcl.csv
PRJ_MST_1070,Urban Transit Corridor Project #70 (Maharashtra),Central Division,MAHARASHTRA,19.1738,75.1118,320.35,2782.18,4702.12,6,2,17,118,0,APPROVED,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1071,Industrial Zone Project #71 (Maharashtra),Central Division,MAHARASHTRA,18.1105,75.2631,193.33,1385.04,2119.74,5,2,15,67,0,PENDING,PENDING,85.93,dataset nhidcl.csv
PRJ_MST_1072,Bulk Water Pipeline Project #72 (Maharashtra),Central Division,MAHARASHTRA,18.1494,73.1865,54.33,458.15,733.34,0,3,10,60,1,APPROVED,APPROVED,57.05,dataset nhidcl.csv
PRJ_MST_1073,Highway Project #73 (Maharashtra),Central Division,MAHARASHTRA,19.0141,73.8701,79.7,717.67,866.74,7,3,13,60,0,PENDING,APPROVED,82.05,dataset nhidcl.csv
PRJ_MST_1074,Freight Corridor Project #74 (Maharashtra),Central Division,MAHARASHTRA,19.1372,73.3238,334.5,2993.09,4073.78,3,1,2,69,0,APPROVED,PENDING,62.1,dataset nhidcl.csv
PRJ_MST_1075,Power Grid Line Project #75 (Maharashtra),Central Division,MAHARASHTRA,19.8967,74.5867,155.94,1456.47,2173.51,1,2,17,77,0,APPROVED,PENDING,62.29,dataset nhidcl.csv
PRJ_MST_1076,Urban Transit Corridor Project #76 (Maharashtra),Central Division,MAHARASHTRA,19.3257,74.696,305.46,2760.55,3513.66,6,1,19,67,0,PENDING,PENDING,89.68,dataset nhidcl.csv
PRJ_MST_1077,Industrial Zone Project #77 (Maharashtra),Central Division,MAHARASHTRA,19.3794,73.7555,241.82,2653.02,4255.47,6,3,24,89,0,REJECTED,PENDING,95.0,dataset nhidcl.csv
PRJ_MST_1078,Bulk Water Pipeline Project #78 (Maharashtra),Central Division,MAHARASHTRA,18.4965,75.2039,227.5,1437.95,2137.95,3,2,12,110,0,PENDING,APPROVED,67.83,dataset nhidcl.csv
PRJ_MST_1079,Highway Project #79 (Maharashtra),Central Division,MAHARASHTRA,19.2558,74.2953,110.93,1301.49,2185.25,4,5,3,111,1,PENDING,APPROVED,89.0,dataset nhidcl.csv
PRJ_MST_1080,Freight Corridor Project #80 (Maharashtra),Central Division,MAHARASHTRA,19.571,74.2596,315.93,2114.96,3555.82,7,2,13,102,0,PENDING,APPROVED,86.52,dataset nhidcl.csv
PRJ_MST_1081,Power Grid Line Project #81 (Maharashtra),Central Division,MAHARASHTRA,19.8316,73.6391,88.27,548.78,871.77,7,3,32,16,0,APPROVED,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1082,Urban Transit Corridor Project #82 (Maharashtra),Central Division,MAHARASHTRA,18.7309,75.1604,153.45,1805.01,2259.62,0,3,27,18,0,APPROVED,PENDING,59.3,dataset nhidcl.csv
PRJ_MST_1083,Industrial Zone Project #83 (Maharashtra),Central Division,MAHARASHTRA,19.0893,73.8954,347.88,3884.7,4905.68,3,1,36,50,1,PENDING,APPROVED,93.48,dataset nhidcl.csv
PRJ_MST_1084,Bulk Water Pipeline Project #84 (Maharashtra),Central Division,MAHARASHTRA,19.8441,74.498,262.79,3089.4,3715.98,1,3,7,112,0,PENDING,APPROVED,60.79,dataset nhidcl.csv
PRJ_MST_1085,Highway Project #85 (Maharashtra),Central Division,MAHARASHTRA,19.9342,72.8747,166.87,1997.29,3163.48,3,3,33,69,0,APPROVED,APPROVED,77.71,dataset nhidcl.csv
PRJ_MST_1086,Freight Corridor Project #86 (Maharashtra),Central Division,MAHARASHTRA,20.0403,73.7098,205.02,1949.91,2459.38,0,0,4,62,0,REJECTED,APPROVED,52.93,dataset nhidcl.csv
PRJ_MST_1087,Power Grid Line Project #87 (Maharashtra),Central Division,MAHARASHTRA,20.0066,74.8154,155.71,1446.87,1992.42,1,3,4,92,0,APPROVED,PENDING,54.04,dataset nhidcl.csv
PRJ_MST_1088,Urban Transit Corridor Project #88 (Maharashtra),Central Division,MAHARASHTRA,18.5868,73.039,259.91,1965.43,2578.69,7,4,30,74,0,PENDING,PENDING,95.0,dataset nhidcl.csv
PRJ_MST_1089,Industrial Zone Project #89 (Maharashtra),Central Division,MAHARASHTRA,19.0567,72.9435,151.73,1018.61,1424.72,3,4,8,79,1,PENDING,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1090,Bulk Water Pipeline Project #90 (Maharashtra),Central Division,MAHARASHTRA,19.7919,74.6955,241.15,2616.25,4324.18,1,2,31,29,0,PENDING,APPROVED,75.27,dataset nhidcl.csv
PRJ_MST_1091,Highway Project #91 (Maharashtra),Central Division,MAHARASHTRA,18.3399,75.1091,252.56,2556.36,4188.62,1,3,32,24,0,APPROVED,APPROVED,60.58,dataset nhidcl.csv
PRJ_MST_1092,Freight Corridor Project #92 (Maharashtra),Central Division,MAHARASHTRA,18.5726,74.8905,221.15,1594.69,2464.35,2,1,2,103,0,APPROVED,PENDING,56.38,dataset nhidcl.csv
PRJ_MST_1093,Power Grid Line Project #93 (Maharashtra),Central Division,MAHARASHTRA,19.0648,72.8641,198.21,2247.62,3240.76,3,1,29,74,0,PENDING,PENDING,84.93,dataset nhidcl.csv
PRJ_MST_1094,Urban Transit Corridor Project #94 (Maharashtra),Central Division,MAHARASHTRA,18.5997,73.248,88.01,802.14,1260.87,4,1,11,70,0,APPROVED,PENDING,67.17,dataset nhidcl.csv
PRJ_MST_1095,Industrial Zone Project #95 (Maharashtra),Central Division,MAHARASHTRA,18.2888,74.5668,85.72,614.67,959.19,3,0,28,25,0,PENDING,PENDING,81.69,dataset nhidcl.csv
PRJ_MST_1096,Bulk Water Pipeline Project #96 (Maharashtra),Central Division,MAHARASHTRA,18.3213,73.8851,282.59,2544.47,4184.51,3,1,2,55,0,APPROVED,APPROVED,44.01,dataset nhidcl.csv
PRJ_MST_1097,Highway Project #97 (Maharashtra),Central Division,MAHARASHTRA,19.5514,75.1052,115.81,775.81,1202.79,4,4,25,21,0,APPROVED,PENDING,80.52,dataset nhidcl.csv
PRJ_MST_1098,Freight Corridor Project #98 (Maharashtra),Central Division,MAHARASHTRA,18.403,74.7132,236.47,2271.23,2856.13,0,2,29,88,0,APPROVED,APPROVED,59.31,dataset nhidcl.csv
PRJ_MST_1099,Power Grid Line Project #99 (Maharashtra),Central Division,MAHARASHTRA,19.3417,74.8829,118.87,1296.82,1869.22,6,6,8,18,0,PENDING,APPROVED,80.18,dataset nhidcl.csv
PRJ_MST_1100,Urban Transit Corridor Project #100 (Maharashtra),Central Division,MAHARASHTRA,19.9643,74.4409,67.68,503.85,848.29,3,3,25,30,1,APPROVED,APPROVED,76.62,dataset nhidcl.csv
PRJ_MST_1101,Industrial Zone Project #101 (Maharashtra),Central Division,MAHARASHTRA,19.0643,74.1608,153.31,1433.34,1857.26,6,2,1,25,0,APPROVED,APPROVED,49.75,dataset nhidcl.csv
PRJ_MST_1102,Bulk Water Pipeline Project #102 (Maharashtra),Central Division,MAHARASHTRA,18.5717,72.9759,122.39,860.9,1350.56,7,3,2,41,0,APPROVED,PENDING,72.56,dataset nhidcl.csv
PRJ_MST_1103,Highway Project #103 (Maharashtra),Central Division,MAHARASHTRA,18.3198,74.7117,100.32,1079.02,1460.58,7,3,3,40,1,APPROVED,APPROVED,71.97,dataset nhidcl.csv
PRJ_MST_1104,Freight Corridor Project #104 (Maharashtra),Central Division,MAHARASHTRA,18.7544,73.7965,214.07,1666.7,2125.8,5,3,24,99,0,APPROVED,PENDING,85.5,dataset nhidcl.csv
PRJ_MST_1105,Power Grid Line Project #105 (Maharashtra),Central Division,MAHARASHTRA,19.1587,74.4439,100.96,1193.21,1997.62,5,3,12,22,1,PENDING,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1106,Urban Transit Corridor Project #106 (Maharashtra),Central Division,MAHARASHTRA,19.4172,74.5912,266.76,2513.53,3596.79,6,2,34,46,1,APPROVED,APPROVED,95.0,dataset nhidcl.csv
PRJ_MST_1107,Industrial Zone Project #107 (Maharashtra),Central Division,MAHARASHTRA,19.3885,73.1088,257.65,2158.7,2639.97,2,2,22,12,1,APPROVED,APPROVED,63.88,dataset nhidcl.csv
PRJ_MST_1108,Bulk Water Pipeline Project #108 (Maharashtra),Central Division,MAHARASHTRA,18.6886,72.8381,249.44,2357.61,3205.97,2,1,8,88,1,APPROVED,PENDING,74.63,dataset nhidcl.csv
PRJ_MST_1109,Highway Project #109 (Maharashtra),Central Division,MAHARASHTRA,19.8039,74.8697,53.91,328.01,535.03,0,1,1,65,0,REJECTED,APPROVED,50.13,dataset nhidcl.csv
PRJ_MST_1110,Freight Corridor Project #110 (Maharashtra),Central Division,MAHARASHTRA,18.6617,74.3666,331.4,3575.21,4638.94,6,3,30,65,0,PENDING,APPROVED,94.81,dataset nhidcl.csv
PRJ_MST_1111,Power Grid Line Project #111 (Maharashtra),Central Division,MAHARASHTRA,19.5157,74.7627,186.1,1799.69,2204.13,6,4,1,15,0,PENDING,APPROVED,66.58,dataset nhidcl.csv
PRJ_MST_1112,Urban Transit Corridor Project #112 (Maharashtra),Central Division,MAHARASHTRA,19.8804,75.1403,316.89,3632.62,4667.73,0,4,31,72,0,PENDING,APPROVED,71.53,dataset nhidcl.csv
PRJ_MST_1113,Industrial Zone Project #113 (Maharashtra),Central Division,MAHARASHTRA,18.2746,75.0336,85.53,999.94,1522.17,1,6,17,27,0,PENDING,REJECTED,87.16,dataset nhidcl.csv
PRJ_MST_1114,Bulk Water Pipeline Project #114 (Maharashtra),Central Division,MAHARASHTRA,19.8059,73.9747,216.17,2348.83,3981.65,5,0,12,76,1,APPROVED,PENDING,82.35,dataset nhidcl.csv
PRJ_MST_1115,Highway Project #115 (Maharashtra),Central Division,MAHARASHTRA,19.2694,75.0977,338.58,2193.02,2783.5,5,1,4,34,0,PENDING,PENDING,73.08,dataset nhidcl.csv
PRJ_MST_1116,Freight Corridor Project #116 (Maharashtra),Central Division,MAHARASHTRA,19.9005,73.0075,349.57,4153.58,5228.01,4,5,9,40,1,PENDING,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1117,Power Grid Line Project #117 (Maharashtra),Central Division,MAHARASHTRA,19.2274,74.8928,27.98,292.32,389.43,3,5,24,76,1,APPROVED,PENDING,91.89,dataset nhidcl.csv
PRJ_MST_1118,Urban Transit Corridor Project #118 (Maharashtra),Central Division,MAHARASHTRA,19.5926,74.6284,178.83,1852.29,2349.64,7,2,33,30,1,APPROVED,APPROVED,95.0,dataset nhidcl.csv
PRJ_MST_1119,Industrial Zone Project #119 (Maharashtra),Central Division,MAHARASHTRA,19.2996,73.8817,116.17,963.86,1569.11,5,1,36,84,1,REJECTED,REJECTED,95.0,dataset nhidcl.csv
PRJ_MST_1120,Bulk Water Pipeline Project #120 (Maharashtra),Central Division,MAHARASHTRA,19.6025,74.7001,41.03,264.79,420.03,4,0,29,31,1,APPROVED,PENDING,83.97,dataset nhidcl.csv
PRJ_MST_1121,Highway Project #121 (Maharashtra),Central Division,MAHARASHTRA,19.8575,73.7158,207.98,1842.22,2964.06,4,2,6,53,1,APPROVED,PENDING,75.15,dataset nhidcl.csv
PRJ_MST_1122,Freight Corridor Project #122 (Maharashtra),Central Division,MAHARASHTRA,19.1315,73.6785,21.68,137.38,195.66,4,3,5,97,0,PENDING,REJECTED,88.88,dataset nhidcl.csv
PRJ_MST_1123,Power Grid Line Project #123 (Maharashtra),Central Division,MAHARASHTRA,18.5417,72.9183,221.72,2096.96,3528.97,4,1,2,71,0,APPROVED,APPROVED,51.19,dataset nhidcl.csv
PRJ_MST_1124,Urban Transit Corridor Project #124 (Maharashtra),Central Division,MAHARASHTRA,20.1621,73.5949,307.16,3284.94,5238.68,5,3,12,58,1,REJECTED,APPROVED,95.0,dataset nhidcl.csv
PRJ_MST_1125,Industrial Zone Project #125 (Maharashtra),Central Division,MAHARASHTRA,20.0092,73.8515,311.59,2768.17,4634.46,0,1,2,40,1,APPROVED,APPROVED,42.51,dataset nhidcl.csv
PRJ_MST_1126,Bulk Water Pipeline Project #126 (Maharashtra),Central Division,MAHARASHTRA,19.1902,73.1747,334.93,3028.59,3881.56,1,2,25,111,0,APPROVED,APPROVED,61.29,dataset nhidcl.csv
